date,sport,round,match,market,odds,stake,bonus_bet,result,return,profit,notes
2026-08-06,NRL,R24,Gold Coast Titans v North Queensland Cowboys,Zac Laybutt 1+ Try,3.70,15.00,no,loss,0.00,-15.00,Player prop
2026-08-06,NRL,R24,Gold Coast Titans v North Queensland Cowboys,Jake Clifford 1+ Try,4.10,15.00,no,win,61.50,46.50,Player prop
2026-08-06,AFL,R22,Western Bulldogs v North Melbourne,Joel Freijah 20+ Disposals,2.95,12.50,no,loss,0.00,-12.50,Player prop
2026-08-07,NRL,R24,New Zealand Warriors v Penrith Panthers,Same Game Multi (3 Legs),7.00,10.00,no,loss,0.00,-10.00,1 leg failed. Got $10 bonus bet back.
2026-08-07,AFL,R22,Brisbane Lions v Hawthorn,Brisbane Lions 1 to 39,2.50,10.00,no,loss,0.00,-10.00,Big Win Little Win exotic
2026-08-08,AFL,R22,Sydney Swans v Port Adelaide,Isaac Heeney 2+ Goals,2.08,16.50,no,loss,0.00,-16.50,Player prop
2026-08-08,RACING,,Caulfield Heath Race 8,Magnaspin (3) Win,7.50,25.00,yes,loss,0.00,-25.00,Racing bonus bet
2026-08-09,NRL,R24,St George/Illa Dragons v Cronulla Sharks,Under (50.5),1.89,10.00,no,win,18.90,8.90,Total Match Points
2026-08-09,AFL,R22,GWS Giants v Gold Coast Suns,GWS Giants H2H,2.02,10.00,no,loss,0.00,-10.00,Head to Head
2026-08-09,AFL,R22,GWS Giants v Gold Coast Suns,Over (128.5),1.83,10.00,no,win,18.30,8.30,Total Game Points
2026-08-09,AFL,R22,West Coast Eagles v Collingwood,Collingwood (-9.5),1.89,15.00,no,win,28.35,13.35,Line bet
2026-08-09,AFL,R22,West Coast Eagles v Collingwood,Liam Duggan 20+ Disposals,2.73,10.00,no,loss,0.00,-10.00,Player prop
2026-08-09,AFL,R22,,Multi (2 Legs),3.93,15.00,no,loss,0.00,-15.00,2-leg multi. Both legs lost.
2026-08-09,AFL,R22,St Kilda v Carlton,Tom De Koning 1+ Goal,1.80,10.00,no,loss,0.00,-10.00,Player prop
2026-08-09,NRL,R24,Canberra Raiders v Newcastle Knights,Newcastle Knights 1 to 12,3.05,10.00,yes,win,20.50,10.50,Big Win Little Win bonus bet
2026-08-09,NRL,R24,Canberra Raiders v Newcastle Knights,Canberra Raiders 1 to 12,3.10,10.00,no,loss,0.00,-10.00,Big Win Little Win
