date,sport,round,match,market,odds,stake,bonus_bet,result,return,profit,notes
2026-08-20,AFL,R24,St Kilda Saints v Gold Coast Suns,St Kilda Saints (-11.5),1.71,30.00,no,loss,0.00,-30.00,Pick Your Line. StK lost outright 80-103.
2026-08-20,AFL,R24,St Kilda Saints v Gold Coast Suns,Under (179.5),1.90,25.00,no,loss,0.00,-25.00,Total 183. Tight miss.
2026-08-20,AFL,R24,St Kilda Saints v Gold Coast Suns,Under (180.5),1.89,37.50,no,loss,0.00,-37.50,Total 183. Over by 2.5pts.
2026-08-23,AFL,R24,Essendon Bombers v Port Adelaide Power,Under (177.5),1.89,50.00,no,loss,0.00,-50.00,Total 199. Massive over.
2026-08-23,AFL,R24,Essendon Bombers v Port Adelaide Power,Under (176.5),1.88,50.00,no,loss,0.00,-50.00,Total 199. Massive over.
2026-08-22,AFL,R24,Carlton Blues v Fremantle Dockers,Fremantle Dockers (-10.5),1.90,50.00,no,loss,0.00,-50.00,Carlton won 119-82. Freo lost outright.
2026-08-22,NRL,R25,South Sydney Rabbitohs v New Zealand Warriors,New Zealand Warriors (-3.5),1.83,25.00,no,win,45.75,20.75,Warriors won 45-26.
2026-08-22,NRL,R25,St George Illawarra Dragons v Canterbury Bulldogs,Under (43.5),1.90,50.00,no,loss,0.00,-50.00,Total 58. Bulldogs won 44-14.
2026-08-21,NRL,R25,Canberra Raiders v Brisbane Broncos,Canberra Raiders (-5.5),1.74,25.00,no,loss,0.00,-25.00,Raiders lost 30-34. Broncos upset.
2026-08-21,NRL,R25,,Multi (3 Legs),2.02,50.00,no,loss,0.00,-50.00,3-leg NRL multi. 1 leg failed.
